SNo,Pair,Date,Session,Day,Direction,Entry_Price,SL_Price,TP_Price,Exit_Price,SL_Pips,Lot_Size,Account_Balance,Risk_Amount,RR,PnL,TP_Hit,Result,Trade_Duration
1091,USDCAD,2021-08-06,London,Friday,Sell,1.25637,1.25745,1.25367,1.25744,10.8,1.59,100032.25,132.22,0.96,-127.02,SL Hit,Loss,35m
1092,XAUUSD,2021-08-06,New York,Friday,Sell,1808.3,1808.39,1808.07,1808.39,9.2,1.56,99899.16,143.52,0.93,-133.09,SL Hit,Loss,35m
1093,EURUSD,2021-08-09,London,Monday,Sell,1.09326,1.09425,1.09078,1.09423,9.9,1.62,99742.23,160.38,0.98,-156.93,SL Hit,Loss,58m
1094,XAUUSD,2021-08-09,New York,Monday,Sell,2082.68,2082.81,2082.26,2082.26,12.8,1.32,100237.4,168.96,3.3,495.17,TP1 (1:3),Win,4h 20m
1095,GBPUSD,2021-08-09,London,Monday,Sell,1.28699,1.28832,1.28367,1.28831,13.3,1.32,100107.56,175.56,0.97,-129.84,SL Hit,Loss,12m
1096,XAUUSD,2021-08-09,New York,Monday,Sell,1940.28,1940.33,1940.16,1940.33,4.8,3.62,99949.58,173.76,0.91,-157.98,SL Hit,Loss,40m
1097,USDCAD,2021-08-09,London,Monday,Buy,1.29196,1.29036,1.29676,1.29196,16.0,1.32,99949.58,161.3,0.0,0.0,BE,,3h 0m
1098,USDCAD,2021-08-09,London,Monday,Buy,1.21026,1.20968,1.21171,1.20969,5.8,3.81,99787.99,170.15,0.95,-161.59,SL Hit,Loss,22m
1099,EURGBP,2021-08-09,New York,Monday,Sell,0.86401,0.86491,0.86112,0.86112,9.0,1.32,100285.56,154.44,3.21,497.57,TP1 (1:3),Win,2h 30m
1100,XAUUSD,2021-08-09,London,Monday,Buy,2092.11,2092.04,2092.28,2092.04,6.8,2.36,100137.67,160.48,0.92,-147.89,SL Hit,Loss,12m
1101,EURUSD,2021-08-09,New York,Monday,Buy,1.02861,1.02807,1.02996,1.02808,5.4,3.22,99970.79,173.88,0.96,-166.88,SL Hit,Loss,55m
1102,USDCAD,2021-08-09,New York,Monday,Sell,1.31803,1.31909,1.31538,1.31908,10.6,2.21,99803.25,180.38,0.93,-167.54,SL Hit,Loss,48m
1103,GBPUSD,2021-08-09,New York,Monday,Buy,1.23078,1.2292,1.23473,1.2292,15.8,1.32,99645.28,208.56,0.94,-157.97,SL Hit,Loss,55m
1104,EURGBP,2021-08-10,New York,Tuesday,Buy,0.8589,0.85754,0.8623,0.85756,13.6,1.32,99506.72,233.38,0.98,-138.56,SL Hit,Loss,55m
1105,XAUUSD,2021-08-10,New York,Tuesday,Sell,1978.41,1978.47,1978.26,1978.47,6.0,2.94,99340.89,176.4,0.94,-165.83,SL Hit,Loss,55m
1106,EURUSD,2021-08-10,London,Tuesday,Sell,1.10995,1.11137,1.1064,1.11136,14.2,1.32,99179.34,187.44,0.97,-161.55,SL Hit,Loss,58m
1107,EURUSD,2021-08-10,New York,Tuesday,Sell,1.05121,1.05171,1.04996,1.0517,5.0,2.8,99050.34,140.0,0.92,-129.0,SL Hit,Loss,45m
1108,EURUSD,2021-08-10,London,Tuesday,Sell,1.0297,1.03104,1.02635,1.03103,13.4,1.32,98900.95,176.88,0.99,-149.39,SL Hit,Loss,22m
1109,USDCAD,2021-08-10,London,Tuesday,Sell,1.27244,1.27306,1.27089,1.27306,6.2,2.74,98771.23,130.81,0.99,-129.72,SL Hit,Loss,12m
1110,USDCAD,2021-08-10,New York,Tuesday,Sell,1.30764,1.30896,1.30434,1.30894,13.2,1.35,98636.73,137.21,0.98,-134.5,SL Hit,Loss,1h 22m
1111,USDCAD,2021-08-10,London,Tuesday,Buy,1.24514,1.24427,1.24782,1.24777,8.7,1.89,99027.1,126.61,3.08,390.37,TP1 (1:3),Win,1h 55m
1112,GBPUSD,2021-08-10,London,Tuesday,Sell,1.24921,1.24993,1.24741,1.24993,7.2,2.12,98881.94,152.64,0.95,-145.16,SL Hit,Loss,32m
1113,EURUSD,2021-08-10,London,Tuesday,Sell,1.07508,1.07566,1.07363,1.07564,5.8,2.55,98739.69,147.9,0.96,-142.25,SL Hit,Loss,22m
1114,EURGBP,2021-08-11,London,Wednesday,Buy,0.83529,0.83388,0.83881,0.83389,14.1,1.32,98579.99,241.96,0.93,-159.7,SL Hit,Loss,1h 22m
1115,EURUSD,2021-08-11,London,Wednesday,Buy,1.0656,1.06467,1.06793,1.06468,9.3,1.64,98438.55,152.52,0.93,-141.44,SL Hit,Loss,1h 5m
1116,EURGBP,2021-08-11,New York,Wednesday,Sell,0.88678,0.88723,0.88565,0.88721,4.5,2.88,98271.63,168.48,0.99,-166.92,SL Hit,Loss,32m
1117,GBPUSD,2021-08-11,London,Wednesday,Sell,1.21834,1.21914,1.21634,1.21911,8.0,1.89,98129.78,151.2,0.94,-141.85,SL Hit,Loss,18m
1118,XAUUSD,2021-08-11,London,Wednesday,Sell,1920.39,1920.55,1919.99,1920.55,16.2,1.32,97975.64,213.84,0.93,-154.14,SL Hit,Loss,45m
1119,EURGBP,2021-08-11,New York,Wednesday,Sell,0.87138,0.87233,0.86901,0.87232,9.5,1.32,97846.45,163.02,0.96,-129.19,SL Hit,Loss,1h 5m
1120,GBPUSD,2021-08-11,New York,Wednesday,Sell,1.29545,1.29624,1.29347,1.29624,7.9,1.88,97707.98,148.52,0.93,-138.47,SL Hit,Loss,48m
1121,GBPUSD,2021-08-11,London,Wednesday,Buy,1.25503,1.2537,1.25836,1.25371,13.3,1.32,97574.04,175.56,0.95,-133.94,SL Hit,Loss,27m
1122,USDCAD,2021-08-11,London,Wednesday,Sell,1.29586,1.29706,1.29286,1.29703,12.0,1.66,97421.94,153.38,0.99,-152.1,SL Hit,Loss,18m
1123,EURUSD,2021-08-12,London,Thursday,Sell,1.06795,1.06947,1.06339,1.06795,15.2,1.32,97421.94,146.19,0.0,0.0,BE,,1h 10m
1124,EURUSD,2021-08-12,New York,Thursday,Sell,1.03988,1.04155,1.0357,1.04152,16.7,1.32,97268.14,220.44,0.92,-153.8,SL Hit,Loss,55m
1125,USDCAD,2021-08-12,New York,Thursday,Buy,1.21026,1.2086,1.21441,1.20863,16.6,1.34,97105.27,171.28,0.95,-162.87,SL Hit,Loss,12m
1126,GBPUSD,2021-08-12,London,Thursday,Sell,1.30548,1.30596,1.30428,1.30593,4.8,3.17,96957.7,152.16,0.97,-147.57,SL Hit,Loss,35m
1127,EURGBP,2021-08-12,New York,Thursday,Buy,0.87844,0.87683,0.88327,0.87844,16.1,1.32,96957.7,171.88,0.0,0.0,BE,,1h 10m
1128,USDCAD,2021-08-12,London,Thursday,Buy,1.29609,1.29547,1.29764,1.29548,6.2,2.86,96830.66,136.54,0.93,-127.04,SL Hit,Loss,12m
1129,EURGBP,2021-08-12,New York,Thursday,Sell,0.86987,0.87113,0.86609,0.86987,12.6,1.32,96830.66,171.23,0.0,0.0,BE,,2h 5m
1130,USDCAD,2021-08-12,London,Thursday,Buy,1.34067,1.34002,1.34264,1.34262,6.5,3.42,97349.31,171.17,3.03,518.65,TP1 (1:3),Win,8h 5m
1131,EURGBP,2021-08-12,London,Thursday,Sell,0.83032,0.8315,0.82737,0.83148,11.8,1.32,97184.33,202.49,0.97,-164.98,SL Hit,Loss,1h 5m
1132,GBPUSD,2021-08-13,New York,Friday,Sell,1.23434,1.23583,1.22947,1.22948,14.9,1.32,97666.85,196.68,3.27,482.52,TP1 (1:3),Win,5h 30m
1133,GBPUSD,2021-08-13,New York,Friday,Sell,1.30322,1.30399,1.30104,1.30109,7.7,1.85,98070.09,142.45,2.83,403.24,TP1 (1:3),Win,1h 2m
1134,USDCAD,2021-08-13,New York,Friday,Buy,1.32628,1.32582,1.32743,1.32582,4.6,4.84,97910.53,171.43,0.93,-159.56,SL Hit,Loss,1h 22m
1135,EURUSD,2021-08-13,New York,Friday,Sell,1.04978,1.05125,1.0461,1.05123,14.7,1.32,97774.36,194.04,0.99,-136.17,SL Hit,Loss,22m
1136,USDCAD,2021-08-13,London,Friday,Buy,1.2534,1.25219,1.25703,1.2534,12.1,1.74,97774.36,162.52,0.0,0.0,BE,,2h 5m
1137,USDCAD,2021-08-13,London,Friday,Buy,1.32479,1.32354,1.32791,1.32357,12.5,1.86,97605.7,179.03,0.94,-168.66,SL Hit,Loss,32m
1138,EURGBP,2021-08-13,New York,Friday,Sell,0.8665,0.86767,0.86358,0.86764,11.7,1.32,97450.05,200.77,0.98,-155.65,SL Hit,Loss,45m
1139,XAUUSD,2021-08-13,New York,Friday,Sell,1906.33,1906.46,1905.99,1906.46,13.5,1.32,97329.96,178.2,0.92,-120.09,SL Hit,Loss,40m
1140,XAUUSD,2021-08-13,New York,Friday,Buy,1876.34,1876.21,1876.74,1876.74,12.5,1.32,97791.11,165.0,3.17,461.15,TP1 (1:3),Win,3h 22m
1141,EURGBP,2021-08-16,London,Monday,Buy,0.83842,0.83792,0.83967,0.83795,5.0,2.37,97649.51,154.05,0.92,-141.6,SL Hit,Loss,45m
1142,EURUSD,2021-08-16,London,Monday,Buy,1.11474,1.11355,1.11772,1.11356,11.9,1.32,97525.26,157.08,0.98,-124.25,SL Hit,Loss,48m
1143,EURUSD,2021-08-16,New York,Monday,Sell,1.05722,1.05867,1.0536,1.05867,14.5,1.32,97372.74,191.4,0.98,-152.52,SL Hit,Loss,27m
1144,XAUUSD,2021-08-16,New York,Monday,Sell,2082.49,2082.57,2082.29,2082.57,8.0,1.69,97240.6,135.2,0.98,-132.14,SL Hit,Loss,48m
1145,GBPUSD,2021-08-16,New York,Monday,Sell,1.21417,1.21546,1.21094,1.21545,12.9,1.32,97086.87,170.28,0.97,-153.73,SL Hit,Loss,27m
1146,EURGBP,2021-08-16,London,Monday,Buy,0.88961,0.88833,0.89281,0.88835,12.8,1.32,96934.13,219.65,0.93,-152.74,SL Hit,Loss,55m
1147,USDCAD,2021-08-16,New York,Monday,Buy,1.25075,1.24939,1.25415,1.24941,13.6,1.51,96788.6,158.13,0.92,-145.53,SL Hit,Loss,12m
1148,GBPUSD,2021-08-16,London,Monday,Buy,1.28215,1.28142,1.28434,1.28215,7.3,2.35,96788.6,171.23,0.0,0.0,BE,,2h 5m
1149,GBPUSD,2021-08-16,London,Monday,Sell,1.27081,1.27223,1.26655,1.27081,14.2,1.32,96788.6,139.56,0.0,0.0,BE,,3h 0m
1150,EURUSD,2021-08-17,New York,Tuesday,Sell,1.0439,1.045,1.04115,1.045,11.0,1.32,96664.93,145.2,0.93,-123.67,SL Hit,Loss,22m
1151,GBPUSD,2021-08-17,London,Tuesday,Sell,1.30253,1.3031,1.30085,1.30087,5.7,2.85,97142.07,162.45,2.94,477.14,TP1 (1:3),Win,1h 2m
1152,USDCAD,2021-08-17,New York,Tuesday,Sell,1.27851,1.27943,1.27578,1.27581,9.2,2.07,97577.56,146.64,2.97,435.49,TP1 (1:3),Win,1h 55m
1153,GBPUSD,2021-08-17,London,Tuesday,Buy,1.26665,1.26622,1.26793,1.26793,4.3,3.56,98033.93,153.08,2.98,456.37,TP1 (1:3),Win,3h 40m
1154,XAUUSD,2021-08-17,New York,Tuesday,Buy,1969.55,1969.42,1969.91,1969.91,12.9,1.32,98499.03,170.28,2.82,465.1,TP1 (1:3),Win,6h 10m
1155,XAUUSD,2021-08-17,New York,Tuesday,Buy,1916.7,1916.57,1917.04,1916.57,13.5,1.32,98339.81,178.2,0.99,-159.22,SL Hit,Loss,45m
1156,USDCAD,2021-08-17,New York,Tuesday,Sell,1.26997,1.27044,1.2688,1.27042,4.7,3.66,98214.06,132.46,0.95,-125.75,SL Hit,Loss,58m
1157,XAUUSD,2021-08-17,London,Tuesday,Sell,1969.42,1969.47,1969.29,1969.29,4.5,3.73,98697.98,167.85,2.88,483.92,TP1 (1:3),Win,8h 5m
1158,EURGBP,2021-08-17,London,Tuesday,Buy,0.85702,0.85644,0.85847,0.85644,5.8,2.11,98541.88,159.09,0.98,-156.1,SL Hit,Loss,22m
1159,USDCAD,2021-08-17,London,Tuesday,Sell,1.26479,1.26614,1.26142,1.26612,13.5,1.45,98396.78,150.73,0.96,-145.1,SL Hit,Loss,32m
1160,USDCAD,2021-08-18,New York,Wednesday,Buy,1.32414,1.32374,1.32514,1.32376,4.0,4.38,98264.68,134.9,0.98,-132.1,SL Hit,Loss,12m
1161,GBPUSD,2021-08-18,London,Wednesday,Buy,1.23344,1.23215,1.23667,1.23216,12.9,1.32,98109.2,170.28,0.92,-155.48,SL Hit,Loss,55m
1162,EURGBP,2021-08-18,New York,Wednesday,Sell,0.84161,0.84235,0.83976,0.84235,7.4,1.54,97969.61,148.15,0.94,-139.59,SL Hit,Loss,40m
1163,XAUUSD,2021-08-18,New York,Wednesday,Buy,2024.07,2023.92,2024.45,2023.92,15.1,1.32,97845.24,199.32,0.97,-124.37,SL Hit,Loss,27m
1164,GBPUSD,2021-08-18,New York,Wednesday,Sell,1.25549,1.25638,1.25327,1.25638,8.9,1.54,97717.59,137.06,0.93,-127.65,SL Hit,Loss,22m
1165,USDCAD,2021-08-18,London,Wednesday,Sell,1.28908,1.28997,1.28686,1.28995,8.9,2.54,97550.66,174.07,0.96,-166.93,SL Hit,Loss,45m
1166,EURGBP,2021-08-18,New York,Wednesday,Sell,0.87827,0.87994,0.87316,0.87319,16.7,1.32,98050.72,286.57,3.06,500.06,TP1 (1:3),Win,3h 22m
1167,EURGBP,2021-08-18,New York,Wednesday,Sell,0.83802,0.83851,0.83679,0.8385,4.9,2.41,97898.49,153.52,0.99,-152.23,SL Hit,Loss,55m
1168,XAUUSD,2021-08-18,New York,Wednesday,Sell,1919.98,1920.1,1919.67,1920.1,12.4,1.32,97749.56,163.68,0.98,-148.93,SL Hit,Loss,35m
1169,XAUUSD,2021-08-19,London,Thursday,Buy,1834.04,1833.92,1834.4,1834.04,12.0,1.36,97749.56,163.78,0.0,0.0,BE,,1h 30m
1170,GBPUSD,2021-08-19,London,Thursday,Sell,1.27153,1.27205,1.27023,1.27205,5.2,3.13,97598.34,162.76,0.93,-151.22,SL Hit,Loss,48m
1171,EURGBP,2021-08-19,New York,Thursday,Buy,0.85492,0.85381,0.85769,0.85384,11.1,1.32,97465.84,190.48,0.98,-132.5,SL Hit,Loss,48m
1172,EURGBP,2021-08-19,New York,Thursday,Sell,0.86424,0.86531,0.86103,0.86424,10.7,1.32,97465.84,159.2,0.0,0.0,BE,,45m
1173,EURGBP,2021-08-19,London,Thursday,Buy,0.88,0.87912,0.8822,0.87914,8.8,1.32,97322.36,151.01,0.95,-143.48,SL Hit,Loss,1h 22m
1174,EURUSD,2021-08-19,London,Thursday,Sell,1.03816,1.03869,1.03683,1.03866,5.3,2.85,97179.0,151.05,0.95,-143.36,SL Hit,Loss,12m
1175,GBPUSD,2021-08-19,London,Thursday,Buy,1.21501,1.21395,1.21766,1.21397,10.6,1.45,97037.41,153.7,0.92,-141.59,SL Hit,Loss,27m
1176,GBPUSD,2021-08-19,London,Thursday,Sell,1.25616,1.25693,1.25423,1.25693,7.7,2.09,96880.0,160.93,0.98,-157.41,SL Hit,Loss,1h 5m
1177,EURGBP,2021-08-19,New York,Thursday,Sell,0.88335,0.88386,0.88207,0.88384,5.1,2.24,96733.15,148.51,0.99,-146.85,SL Hit,Loss,45m
1178,USDCAD,2021-08-19,London,Thursday,Buy,1.30692,1.30639,1.30843,1.30841,5.3,4.07,97206.74,166.1,2.85,473.59,TP1 (1:3),Win,2h 30m
1179,XAUUSD,2021-08-20,London,Friday,Buy,1884.56,1884.41,1884.99,1884.99,15.0,1.32,97634.85,198.0,2.89,428.11,TP1 (1:3),Win,4h 20m
1180,XAUUSD,2021-08-20,New York,Friday,Buy,1867.22,1867.08,1867.66,1867.66,14.1,1.32,98014.45,186.12,3.09,379.6,TP1 (1:3),Win,1h 48m
1181,USDCAD,2021-08-20,New York,Friday,Buy,1.24388,1.24276,1.24668,1.24277,11.2,1.96,97858.97,169.03,0.92,-155.48,SL Hit,Loss,58m
1182,EURUSD,2021-08-20,New York,Friday,Sell,1.03631,1.0373,1.03384,1.03729,9.9,1.55,97708.27,153.45,0.98,-150.7,SL Hit,Loss,35m
1183,USDCAD,2021-08-20,New York,Friday,Buy,1.25457,1.25298,1.25912,1.25909,15.9,1.32,98105.24,161.61,2.86,396.97,TP1 (1:3),Win,8h 5m
1184,EURGBP,2021-08-20,New York,Friday,Sell,0.85344,0.85427,0.85107,0.8511,8.3,1.46,98555.04,157.53,2.86,449.8,TP1 (1:3),Win,7h 5m
1185,GBPUSD,2021-08-20,London,Friday,Sell,1.25029,1.2519,1.24626,1.25189,16.1,1.32,98392.82,212.52,0.93,-162.22,SL Hit,Loss,22m
1186,GBPUSD,2021-08-20,London,Friday,Sell,1.26432,1.26577,1.2607,1.26575,14.5,1.32,98244.41,191.4,0.97,-148.41,SL Hit,Loss,32m
1187,EURUSD,2021-08-27,London,Friday,Buy,1.10367,1.10211,1.10757,1.10212,15.6,1.32,98077.51,205.92,0.92,-166.9,SL Hit,Loss,27m
1188,GBPUSD,2021-08-27,New York,Friday,Sell,1.24152,1.24198,1.24037,1.24197,4.6,3.62,97915.94,166.52,0.97,-161.57,SL Hit,Loss,12m
1189,EURUSD,2021-08-27,London,Friday,Buy,1.1,1.09924,1.1023,1.10225,7.6,1.58,98277.45,120.08,3.02,361.51,TP1 (1:3),Win,1h 48m
1190,XAUUSD,2021-08-27,New York,Friday,Sell,2037.87,2037.99,2037.51,2037.51,12.2,1.33,98754.43,162.26,2.93,476.98,TP1 (1:3),Win,1h 2m
1191,XAUUSD,2021-08-27,New York,Friday,Sell,2073.55,2073.59,2073.42,2073.42,4.2,3.83,99239.96,160.86,3.02,485.53,TP1 (1:3),Win,6h 10m
1192,GBPUSD,2021-08-27,London,Friday,Sell,1.28935,1.29015,1.28735,1.29014,8.0,1.53,99119.67,122.4,0.98,-120.29,SL Hit,Loss,58m
1193,GBPUSD,2021-08-27,London,Friday,Buy,1.27047,1.26962,1.27259,1.26962,8.5,2.14,98950.65,181.9,0.93,-169.02,SL Hit,Loss,55m
1194,EURUSD,2021-08-27,New York,Friday,Buy,1.05957,1.05792,1.06369,1.05793,16.5,1.32,98829.89,217.8,0.97,-120.76,SL Hit,Loss,45m
1195,EURUSD,2021-08-27,New York,Friday,Buy,1.10901,1.1079,1.11213,1.11208,11.1,1.48,99290.02,164.28,2.81,460.13,TP1 (1:3),Win,2h 15m
1196,XAUUSD,2021-08-27,New York,Friday,Buy,2062.96,2062.85,2063.24,2062.85,11.3,1.38,99142.33,155.94,0.95,-147.69,SL Hit,Loss,55m
1197,USDCAD,2021-08-27,London,Friday,Sell,1.28666,1.28802,1.2827,1.28273,13.6,1.32,99518.73,138.23,2.91,376.4,TP1 (1:3),Win,2h 30m
1198,XAUUSD,2021-08-30,New York,Monday,Buy,1806.98,1806.81,1807.39,1806.81,16.6,1.32,99365.62,219.12,0.95,-153.11,SL Hit,Loss,32m
1199,EURUSD,2021-08-30,New York,Monday,Sell,1.03983,1.04054,1.0376,1.03764,7.1,2.19,99854.19,155.49,3.14,488.57,TP1 (1:3),Win,6h 10m
1200,XAUUSD,2021-08-30,New York,Monday,Sell,1909.83,1909.96,1909.49,1909.96,13.5,1.32,99699.82,178.2,0.99,-154.37,SL Hit,Loss,45m
1201,GBPUSD,2021-08-30,New York,Monday,Sell,1.24102,1.24267,1.23607,1.24102,16.5,1.32,99699.82,174.76,0.0,0.0,BE,,2h 5m
1202,USDCAD,2021-08-30,New York,Monday,Sell,1.34808,1.34943,1.34471,1.34941,13.5,1.38,99563.31,143.45,0.95,-136.51,SL Hit,Loss,32m
1203,USDCAD,2021-08-30,London,Monday,Buy,1.28329,1.28289,1.28429,1.2829,4.0,4.19,99439.48,129.05,0.96,-123.83,SL Hit,Loss,18m
1204,GBPUSD,2021-08-30,New York,Monday,Buy,1.267,1.26544,1.2709,1.26544,15.6,1.32,99309.26,205.92,0.95,-130.22,SL Hit,Loss,32m
1205,EURUSD,2021-08-30,London,Monday,Buy,1.0736,1.07274,1.07575,1.07276,8.6,1.98,99145.53,170.28,0.96,-163.73,SL Hit,Loss,48m
1206,USDCAD,2021-08-31,New York,Tuesday,Sell,1.30414,1.30545,1.30087,1.30543,13.1,1.59,98992.92,160.38,0.95,-152.61,SL Hit,Loss,45m
1207,EURGBP,2021-08-31,London,Tuesday,Buy,0.85475,0.85393,0.8568,0.85394,8.2,1.32,98870.72,140.71,0.99,-122.2,SL Hit,Loss,22m
1208,XAUUSD,2021-08-31,New York,Tuesday,Buy,1880.36,1880.24,1880.65,1880.24,11.7,1.45,98707.44,169.65,0.96,-163.28,SL Hit,Loss,55m
1209,EURUSD,2021-08-31,New York,Tuesday,Sell,1.07455,1.07621,1.0704,1.07619,16.6,1.32,98555.97,219.12,0.96,-151.47,SL Hit,Loss,22m
1210,XAUUSD,2021-08-31,New York,Tuesday,Buy,2043.91,2043.75,2044.3,2043.75,15.6,1.32,98389.85,205.92,0.91,-166.12,SL Hit,Loss,40m
1211,EURUSD,2021-08-31,New York,Tuesday,Buy,1.06176,1.06098,1.06371,1.06099,7.8,1.94,98250.32,151.32,0.92,-139.53,SL Hit,Loss,40m
1212,USDCAD,2021-08-31,London,Tuesday,Buy,1.28777,1.28699,1.29,1.28999,7.8,2.88,98744.24,172.97,2.86,493.92,TP1 (1:3),Win,6h 10m
1213,XAUUSD,2021-08-31,New York,Tuesday,Sell,1904.75,1904.82,1904.55,1904.55,6.7,1.89,99114.74,126.63,2.92,370.5,TP1 (1:3),Win,1h 48m
1214,GBPUSD,2021-08-31,New York,Tuesday,Sell,1.27402,1.27461,1.27255,1.2746,5.9,2.55,98973.59,150.45,0.94,-141.15,SL Hit,Loss,45m
1215,XAUUSD,2021-09-01,London,Wednesday,Sell,1848.02,1848.16,1847.66,1848.16,14.2,1.32,98846.45,187.44,0.94,-127.14,SL Hit,Loss,18m
1216,EURUSD,2021-09-01,New York,Wednesday,Sell,1.0314,1.03267,1.02765,1.02769,12.7,1.32,99342.53,167.64,2.95,496.08,TP1 (1:3),Win,7h 5m
1217,EURGBP,2021-09-01,New York,Wednesday,Sell,0.86546,0.8664,0.86311,0.86638,9.4,1.38,99183.5,168.64,0.94,-159.03,SL Hit,Loss,12m
1218,EURGBP,2021-09-01,London,Wednesday,Sell,0.88764,0.8893,0.88349,0.88928,16.6,1.32,99023.49,284.86,0.94,-160.01,SL Hit,Loss,58m
1219,USDCAD,2021-09-01,London,Wednesday,Sell,1.24254,1.24344,1.24029,1.24342,9.0,2.13,98889.06,147.61,0.91,-134.43,SL Hit,Loss,32m
1220,XAUUSD,2021-09-01,London,Wednesday,Sell,2072.71,2072.85,2072.3,2072.3,14.0,1.32,99350.09,184.8,2.9,461.03,TP1 (1:3),Win,4h 20m
1221,EURGBP,2021-09-01,New York,Wednesday,Buy,0.87007,0.86858,0.87427,0.87425,14.9,1.32,99866.43,255.68,2.82,516.34,TP1 (1:3),Win,2h 15m
1222,EURGBP,2021-09-01,London,Wednesday,Sell,0.86123,0.86239,0.85777,0.85782,11.6,1.32,100348.79,199.06,2.98,482.36,TP1 (1:3),Win,3h 22m
1223,EURUSD,2021-09-01,New York,Wednesday,Buy,1.07574,1.0742,1.08065,1.08064,15.4,1.32,100775.6,203.28,3.19,426.81,TP1 (1:3),Win,4h 20m
1224,GBPUSD,2021-09-01,London,Wednesday,Buy,1.30486,1.30434,1.30616,1.30436,5.2,3.21,100615.34,166.92,0.96,-160.26,SL Hit,Loss,40m
1225,EURUSD,2021-09-01,London,Wednesday,Buy,1.07903,1.07829,1.08088,1.07829,7.4,1.98,100480.73,146.52,0.92,-134.61,SL Hit,Loss,58m
1226,GBPUSD,2021-09-02,London,Thursday,Sell,1.27104,1.27178,1.26875,1.26877,7.4,1.79,100890.44,132.46,3.09,409.71,TP1 (1:3),Win,2h 30m
1227,EURUSD,2021-09-02,New York,Thursday,Buy,1.06491,1.06433,1.06636,1.06434,5.8,2.37,100760.08,137.46,0.95,-130.36,SL Hit,Loss,27m
1228,USDCAD,2021-09-02,London,Thursday,Buy,1.28999,1.28903,1.29239,1.28904,9.6,1.74,100634.06,128.62,0.98,-126.02,SL Hit,Loss,1h 5m
1229,USDCAD,2021-09-02,London,Thursday,Sell,1.30287,1.30416,1.29964,1.30414,12.9,1.56,100483.78,154.95,0.97,-150.28,SL Hit,Loss,45m
1230,GBPUSD,2021-09-02,New York,Thursday,Sell,1.26899,1.2702,1.26597,1.2702,12.1,1.35,100333.46,163.35,0.92,-150.32,SL Hit,Loss,1h 22m
1231,EURGBP,2021-09-02,New York,Thursday,Sell,0.84804,0.84879,0.84574,0.84578,7.5,1.51,100786.22,147.22,3.07,452.76,TP1 (1:3),Win,12h 20m
1232,EURUSD,2021-09-02,London,Thursday,Sell,1.07377,1.07538,1.06974,1.07537,16.1,1.32,100617.3,212.52,0.98,-168.92,SL Hit,Loss,35m
1233,EURGBP,2021-09-02,New York,Thursday,Buy,0.88832,0.88667,0.89245,0.88669,16.5,1.32,100491.13,283.14,0.97,-126.17,SL Hit,Loss,18m
1234,USDCAD,2021-09-02,London,Thursday,Sell,1.30218,1.30301,1.3001,1.30298,8.3,2.79,100323.49,178.31,0.94,-167.64,SL Hit,Loss,58m
1235,XAUUSD,2021-09-02,New York,Thursday,Sell,2069.75,2069.84,2069.53,2069.84,8.7,1.71,100177.56,148.77,0.98,-145.93,SL Hit,Loss,22m
1236,EURUSD,2021-09-02,London,Thursday,Buy,1.11546,1.11391,1.11933,1.11393,15.5,1.32,100013.38,204.6,0.96,-164.18,SL Hit,Loss,1h 22m
1237,EURGBP,2021-09-03,London,Friday,Sell,0.8783,0.87908,0.87597,0.87597,7.8,1.39,100434.0,140.95,2.99,420.62,TP1 (1:3),Win,8h 5m
1238,EURGBP,2021-09-03,London,Friday,Buy,0.87551,0.87498,0.87684,0.875,5.3,2.05,100299.69,141.24,0.95,-134.31,SL Hit,Loss,18m
1239,GBPUSD,2021-09-03,New York,Friday,Sell,1.22747,1.22825,1.22552,1.22824,7.8,2.06,100142.51,160.68,0.98,-157.18,SL Hit,Loss,12m
1240,XAUUSD,2021-09-03,London,Friday,Buy,1927.21,1927.11,1927.46,1927.11,10.1,1.68,99976.62,169.68,0.98,-165.89,SL Hit,Loss,40m
1241,EURGBP,2021-09-03,New York,Friday,Sell,0.8703,0.87124,0.86795,0.87123,9.4,1.33,99822.4,162.53,0.95,-154.22,SL Hit,Loss,48m
1242,EURUSD,2021-09-03,New York,Friday,Buy,1.04944,1.04882,1.05099,1.04885,6.2,2.33,99680.88,144.46,0.98,-141.52,SL Hit,Loss,32m
1243,EURGBP,2021-09-03,London,Friday,Sell,0.88452,0.88499,0.88334,0.88498,4.7,2.38,99548.56,145.42,0.91,-132.32,SL Hit,Loss,45m
1244,USDCAD,2021-09-03,New York,Friday,Sell,1.28923,1.28992,1.28716,1.2872,6.9,2.24,99904.92,119.01,3.0,356.36,TP1 (1:3),Win,2h 15m
1245,USDCAD,2021-09-03,London,Friday,Sell,1.31356,1.31523,1.30939,1.31521,16.7,1.32,99767.42,169.74,0.97,-137.5,SL Hit,Loss,12m
1246,EURUSD,2021-09-03,New York,Friday,Buy,1.10964,1.109,1.11124,1.10901,6.4,2.71,99601.17,173.44,0.96,-166.25,SL Hit,Loss,18m
1247,XAUUSD,2021-09-03,New York,Friday,Sell,2018.46,2018.56,2018.17,2018.46,9.5,1.51,99601.17,143.46,0.0,0.0,BE,,3h 0m
1248,EURUSD,2021-09-06,London,Monday,Buy,1.06681,1.0659,1.06909,1.0659,9.1,1.52,99466.71,138.32,0.97,-134.46,SL Hit,Loss,40m
